Station;Line;Lat;Long;ZIP
Finch;1;43.780556;-79.414722;M2M4L9
North York Centre;1;43.768333;-79.412778;M2N6Y7
Sheppard-Yonge;1;43.761389;-79.410833;M2N7H9
York Mills;1;43.744167;-79.406667;M2P2E3
Lawrence;1;43.725;-79.402222;M4N1S1
Eglinton;1;43.705833;-79.398333;M4S2B8
Davisville;1;43.697778;-79.397222;M4S1Z1
St. Clair;1;43.687778;-79.393056;M4T1J8
Summerhill;1;43.682222;-79.390833;M4T1W2
Rosedale;1;43.676944;-79.388889;M4W1S9
Bloor-Yonge;1;43.671111;-79.385833;M4W1A8
Wellesley;1;43.665278;-79.383889;M4Y1K4
College;1;43.661389;-79.383056;M5B1L2
Dundas;1;43.656389;-79.380833;M5G1Z1
Queen;1;43.6525;-79.379167;
King;1;43.649167;-79.377778;
Union;1;43.645556;-79.380556;
St. Andrew;1;43.647778;-79.384722;
Osgoode;1;43.650833;-79.386667;
St. Patrick;1;43.654722;-79.388333;
Queen's Park;1;43.66;-79.390556;
Museum;1;43.667222;-79.393611;
St. George;1|2;43.668056;-79.399722;
Spadina;1|2;43.667222;-79.403889;
Dupont;1;43.674584;-79.40683;
St. Clair West;1;43.683888;-79.415113;
Eglinton West;1;43.699209;-79.435819;
Glencairn;1;43.708889;-79.440833;
Lawrence West;1;43.715833;-79.444167;
Yorkdale;1;43.724722;-79.4475;
Wilson;1;43.734167;-79.45;
Sheppard West;1;43.749444;-79.461944;
Downsview Park;1;43.753889;-79.478333;
Finch West;1;43.763889;-79.491111;
York University;1;43.774167;-79.499722;
Pioneer Village;1;43.776944;-79.509444;
Highway 407;1;43.783889;-79.523056;
Vaughan Metropolitan Centre;1;43.794167;-79.5275;
Kipling;2;43.637222;-79.536111;
Islington;2;43.645278;-79.524444;
Royal York;2;43.648056;-79.511389;
Old Mill;2;43.65;-79.494722;
Jane;2;43.649917;-79.483889;
Runnymede;2;43.651667;-79.475833;
High Park;2;43.653889;-79.466667;
Keele;2;43.655556;-79.459722;
Dundas West;2;43.656944;-79.452917;M5G1Z1
Lansdowne;2;43.659167;-79.442778;
Dufferin;2;43.66;-79.435556;
Ossington;2;43.662222;-79.426667;
Christie;2;43.664167;-79.418333;
Bathurst;2;43.666111;-79.411111;
Bay;2;43.670278;-79.39;
Sherbourne;2;43.672222;-79.376389;
Castle Frank;2;43.673611;-79.368889;
Broadview;2;43.676944;-79.358333;
Chester;2;43.678333;-79.3525;
Pape;2;43.68;-79.345;
Donlands;2;43.681111;-79.337778;
Greenwood;2;43.6825;-79.330278;
Coxwell;2;43.684167;-79.323056;
Woodbine;2;43.686389;-79.312778;
Main Street;2;43.689028;-79.301667;
Victoria Park;2;43.695;-79.288611;
Warden;2;43.711389;-79.279722;
Kennedy;2|3;43.7325;-79.263611;
Lawrence East;3;43.750278;-79.270278;
Ellesmere;3;43.766944;-79.276389;
Midland;3;43.770417;-79.271944;
Scarborough Centre;3;43.774444;-79.257778;
McCowan;3;43.774917;-79.251667;
Bayview;4;43.766944;-79.386667;
Bessarion;4;43.769167;-79.376389;
Leslie;4;43.771389;-79.365278;
Don Mills;4;43.775556;-79.346389;
